domain,level,count,ids
إسعافات,1,0,
إسعافات,2,1,sprain-strain
إسعافات,3,2,jellyfish-sting knocked-out-tooth
إسعافات,4,0,
إسعافات,5,0,
إصابات,1,0,
إصابات,2,0,
إصابات,3,1,nose-fracture
إصابات,4,2,dislocation genital-injury
إصابات,5,0,
الإسعافات الأولية — لدغات وسموم,1,0,
الإسعافات الأولية — لدغات وسموم,2,1,scorpion-sting
الإسعافات الأولية — لدغات وسموم,3,0,
الإسعافات الأولية — لدغات وسموم,4,0,
الإسعافات الأولية — لدغات وسموم,5,0,
الإسعافات الأولية,1,0,
الإسعافات الأولية,2,0,
الإسعافات الأولية,3,0,
الإسعافات الأولية,4,1,dog-bite
الإسعافات الأولية,5,0,
الصحة النفسية,1,0,
الصحة النفسية,2,0,
الصحة النفسية,3,1,panic-attack
الصحة النفسية,4,0,
الصحة النفسية,5,1,friend-suicidal
صحة,1,0,
صحة,2,46,acne ankle-pain athletes-foot atopic-eczema bad-breath ball-of-foot-pain bedbugs bleeding-gums blisters bottom-of-foot-pain broken-toe cold-sores common-cold constipation corns-calluses dentures dry-mouth finger-pain fungal-nail-infection gout heel-pain hip-pain ingrown-toenail itchy-skin joint-pain mouth-ulcers nail-problems nappy-rash nausea neck-pain palm-of-hand-pain plantar-fasciitis psoriasis ringworm rosacea sciatica shoulder-pain skin-picking-disorder sore-throat sunburn threadworms thumb-pain toe-pain top-of-foot-pain warts-verrucas wrist-pain
صحة,3,21,bloating boils broken-bruised-ribs bronchitis chickenpox conjunctivitis dehydration dental-abscess diarrhoea-vomiting dry-eyes eye-injuries fever food-poisoning headaches impetigo labyrinthitis piles-haemorrhoids scabies toothache urinary-tract-infection vertigo
صحة,4,2,bronchiolitis whooping-cough
صحة,5,0,
طوارئ,1,1,tetanus
طوارئ,2,4,fainting insect-bites nosebleed sprains
طوارئ,3,8,allergic-reaction broken-bone cuts-wounds ear-emergencies eye-injury frostbite hypothermia knocked-tooth
طوارئ,4,14,asthma-attack breathing-difficulty burn carbon-monoxide chemical-burn electric-shock febrile-seizure head-injury heat-stroke high-blood-sugar low-blood-sugar poisoning seizure shock
طوارئ,5,12,anaphylaxis car-accident choking-adult collapse-cpr drowning heart-attack house-fire infant-choking severe-bleeding skull-fracture stroke-fast unconsciousness
كوارث,1,0,
كوارث,2,0,
كوارث,3,0,
كوارث,4,1,landslide
كوارث,5,0,
